Name;PD Notation;Determinant;white_edge_graph;det_white_graph;edge_graph
12a_959;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;16;8;17];[9;22;10;23];[11;4;12;5];[13;20;14;21];[15;24;16;1];[17;3;18;2];[19;14;20;15];[21;12;22;13];[23;8;24;9]]";215;[(1, 6, 1), (1, 6, 1), (1, 7, 1), (1, 8, 1), (1, 11, 1), (3, 6, 1), (3, 6, 1), (3, 6, 1), (3, 7, 1), (3, 11, 1), (6, 8, 1), (8, 11, 1)];215;[(0, 9, -1), (0, 10, -1), (0, 12, -1), (1, 6, 1), (1, 6, 1), (1, 7, 1), (1, 8, 1), (1, 11, 1), (2, 5, -1), (2, 5, -1), (2, 12, -1), (2, 13, -1), (3, 6, 1), (3, 6, 1), (3, 6, 1), (3, 7, 1), (3, 11, 1), (4, 9, -1), (4, 13, -1), (5, 9, -1), (5, 10, -1), (6, 8, 1), (8, 11, 1), (9, 10, -1)]
12a_960;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;17;8;16];[9;23;10;22];[11;20;12;21];[13;4;14;5];[15;9;16;8];[17;1;18;24];[19;12;20;13];[21;2;22;3];[23;15;24;14]]";281;[(0, 2, -1), (0, 2, -1), (0, 5, -1), (0, 7, -1), (2, 5, -1), (2, 7, -1), (2, 11, -1), (4, 11, -1), (4, 12, -1), (5, 12, -1), (7, 11, -1), (7, 12, -1)];281;[(0, 2, -1), (0, 2, -1), (0, 5, -1), (0, 7, -1), (1, 9, 1), (1, 10, 1), (1, 13, 1), (2, 5, -1), (2, 7, -1), (2, 11, -1), (3, 6, 1), (3, 8, 1), (3, 8, 1), (3, 9, 1), (3, 10, 1), (4, 11, -1), (4, 12, -1), (5, 12, -1), (6, 9, 1), (6, 13, 1), (7, 11, -1), (7, 12, -1), (8, 9, 1), (8, 10, 1)]
12a_961;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;21;8;20];[9;14;10;15];[11;4;12;5];[13;23;14;22];[15;8;16;9];[17;1;18;24];[19;2;20;3];[21;17;22;16];[23;13;24;12]]";277;[(0, 5, -1), (0, 6, -1), (0, 8, -1), (0, 8, -1), (3, 5, -1), (3, 6, -1), (3, 12, -1), (5, 12, -1), (6, 13, -1), (8, 12, -1), (8, 12, -1), (8, 13, -1)];277;[(0, 5, -1), (0, 6, -1), (0, 8, -1), (0, 8, -1), (1, 10, 1), (1, 11, 1), (2, 4, 1), (2, 7, 1), (2, 10, 1), (2, 11, 1), (3, 5, -1), (3, 6, -1), (3, 12, -1), (4, 7, 1), (4, 11, 1), (5, 12, -1), (6, 13, -1), (7, 9, 1), (7, 10, 1), (7, 10, 1), (8, 12, -1), (8, 12, -1), (8, 13, -1), (9, 11, 1)]
12a_962;"[[1;7;2;6];[3;11;4;10];[5;19;6;18];[7;23;8;22];[9;3;10;2];[11;16;12;17];[13;24;14;1];[15;20;16;21];[17;5;18;4];[19;12;20;13];[21;9;22;8];[23;14;24;15]]";239;[(1, 7, 1), (1, 7, 1), (1, 12, 1), (1, 13, 1), (3, 5, 1), (3, 7, 1), (3, 12, 1), (3, 12, 1), (3, 13, 1), (5, 7, 1), (5, 12, 1), (5, 12, 1)];239;[(0, 9, -1), (0, 10, -1), (1, 7, 1), (1, 7, 1), (1, 12, 1), (1, 13, 1), (2, 8, -1), (2, 9, -1), (2, 9, -1), (2, 10, -1), (3, 5, 1), (3, 7, 1), (3, 12, 1), (3, 12, 1), (3, 13, 1), (4, 9, -1), (4, 10, -1), (4, 11, -1), (5, 7, 1), (5, 12, 1), (5, 12, 1), (6, 10, -1), (6, 11, -1), (8, 11, -1)]
12a_963;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;23;8;22];[9;14;10;15];[11;20;12;21];[13;4;14;5];[15;8;16;9];[17;1;18;24];[19;12;20;13];[21;2;22;3];[23;17;24;16]]";221;[(1, 3, 1), (1, 7, 1), (1, 10, 1), (1, 10, 1), (3, 7, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (7, 9, 1), (7, 10, 1), (7, 10, 1), (9, 10, 1)];221;[(0, 5, -1), (0, 6, -1), (1, 3, 1), (1, 7, 1), (1, 10, 1), (1, 10, 1), (2, 5, -1), (2, 6, -1), (2, 11, -1), (3, 7, 1), (3, 9, 1), (3, 9, 1), (3, 10, 1), (4, 11, -1), (4, 12, -1), (5, 12, -1), (6, 13, -1), (7, 9, 1), (7, 10, 1), (7, 10, 1), (8, 11, -1), (8, 12, -1), (8, 13, -1), (9, 10, 1)]
12a_964;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;23;8;22];[9;16;10;17];[11;4;12;5];[13;24;14;1];[15;20;16;21];[17;3;18;2];[19;12;20;13];[21;9;22;8];[23;14;24;15]]";255;[(0, 10, -1), (0, 11, -1), (2, 4, -1), (2, 6, -1), (2, 10, -1), (2, 10, -1), (2, 11, -1), (4, 6, -1), (4, 6, -1), (4, 10, -1), (4, 11, -1), (6, 11, -1)];255;[(0, 10, -1), (0, 11, -1), (1, 8, 1), (1, 8, 1), (1, 12, 1), (1, 13, 1), (2, 4, -1), (2, 6, -1), (2, 10, -1), (2, 10, -1), (2, 11, -1), (3, 7, 1), (3, 8, 1), (3, 13, 1), (4, 6, -1), (4, 6, -1), (4, 10, -1), (4, 11, -1), (5, 8, 1), (5, 9, 1), (5, 12, 1), (6, 11, -1), (7, 9, 1), (7, 12, 1)]
12a_965;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;23;8;22];[9;20;10;21];[11;4;12;5];[13;24;14;1];[15;9;16;8];[17;3;18;2];[19;12;20;13];[21;17;22;16];[23;14;24;15]]";297;[(1, 8, 1), (1, 8, 1), (1, 12, 1), (1, 13, 1), (3, 8, 1), (3, 9, 1), (3, 12, 1), (3, 13, 1), (5, 8, 1), (5, 9, 1), (5, 12, 1), (8, 13, 1)];297;[(0, 10, -1), (0, 11, -1), (1, 8, 1), (1, 8, 1), (1, 12, 1), (1, 13, 1), (2, 6, -1), (2, 7, -1), (2, 10, -1), (2, 11, -1), (3, 8, 1), (3, 9, 1), (3, 12, 1), (3, 13, 1), (4, 6, -1), (4, 6, -1), (4, 7, -1), (4, 11, -1), (5, 8, 1), (5, 9, 1), (5, 12, 1), (6, 11, -1), (7, 10, -1), (8, 13, 1)]
12a_966;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;14;10;15];[11;4;12;5];[13;20;14;21];[15;23;16;22];[17;3;18;2];[19;12;20;13];[21;9;22;8];[23;17;24;16]]";217;[(0, 6, -1), (0, 7, -1), (0, 10, -1), (0, 10, -1), (2, 4, -1), (2, 7, -1), (2, 10, -1), (4, 6, -1), (4, 6, -1), (4, 10, -1), (4, 10, -1), (6, 10, -1)];217;[(0, 6, -1), (0, 7, -1), (0, 10, -1), (0, 10, -1), (1, 3, 1), (1, 9, 1), (1, 12, 1), (1, 13, 1), (1, 13, 1), (2, 4, -1), (2, 7, -1), (2, 10, -1), (3, 8, 1), (3, 13, 1), (4, 6, -1), (4, 6, -1), (4, 10, -1), (4, 10, -1), (5, 8, 1), (5, 9, 1), (5, 12, 1), (6, 10, -1), (11, 12, 1), (11, 13, 1)]
12a_967;"[[1;7;2;6];[3;10;4;11];[5;18;6;19];[7;1;8;24];[9;14;10;15];[11;20;12;21];[13;4;14;5];[15;22;16;23];[17;8;18;9];[19;12;20;13];[21;2;22;3];[23;16;24;17]]";253;[(1, 5, 1), (1, 6, 1), (2, 6, 1), (2, 8, 1), (2, 8, 1), (2, 9, 1), (2, 10, 1), (5, 9, 1), (5, 10, 1), (6, 8, 1), (6, 9, 1), (8, 9, 1)];253;[(0, 4, -1), (0, 4, -1), (0, 11, -1), (0, 13, -1), (0, 13, -1), (1, 5, 1), (1, 6, 1), (2, 6, 1), (2, 8, 1), (2, 8, 1), (2, 9, 1), (2, 10, 1), (3, 11, -1), (3, 12, -1), (4, 12, -1), (4, 13, -1), (5, 9, 1), (5, 10, 1), (6, 8, 1), (6, 9, 1), (7, 11, -1), (7, 12, -1), (7, 13, -1), (8, 9, 1)]
12a_968;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;17;10;16];[11;2;12;3];[13;20;14;21];[15;22;16;23];[17;5;18;4];[19;9;20;8];[21;14;22;15];[23;12;24;13]]";193;[(1, 4, 1), (1, 6, 1), (1, 7, 1), (1, 8, 1), (1, 8, 1), (3, 6, 1), (3, 7, 1), (4, 7, 1), (4, 8, 1), (4, 8, 1), (7, 11, 1), (8, 11, 1)];193;[(0, 10, -1), (0, 10, -1), (0, 12, -1), (0, 13, -1), (1, 4, 1), (1, 6, 1), (1, 7, 1), (1, 8, 1), (1, 8, 1), (2, 9, -1), (2, 10, -1), (2, 13, -1), (2, 13, -1), (2, 13, -1), (3, 6, 1), (3, 7, 1), (4, 7, 1), (4, 8, 1), (4, 8, 1), (5, 9, -1), (5, 10, -1), (7, 11, 1), (8, 11, 1), (9, 12, -1)]
12a_969;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;17;10;16];[11;2;12;3];[13;22;14;23];[15;20;16;21];[17;5;18;4];[19;9;20;8];[21;14;22;15];[23;12;24;13]]";139;[(1, 4, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (1, 7, 1), (1, 7, 1), (4, 6, 1), (4, 7, 1), (4, 7, 1), (6, 10, 1), (7, 10, 1)];139;[(0, 9, -1), (0, 9, -1), (0, 11, -1), (0, 12, -1), (1, 4, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (1, 6, 1), (1, 7, 1), (1, 7, 1), (2, 12, -1), (2, 13, -1), (3, 8, -1), (3, 9, -1), (3, 13, -1), (4, 6, 1), (4, 7, 1), (4, 7, 1), (5, 8, -1), (5, 9, -1), (6, 10, 1), (7, 10, 1), (8, 11, -1)]
12a_970;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;16;10;17];[11;4;12;5];[13;20;14;21];[15;22;16;23];[17;3;18;2];[19;12;20;13];[21;14;22;15];[23;9;24;8]]";105;[(0, 2, -1), (0, 5, -1), (0, 10, -1), (0, 10, -1), (0, 10, -1), (2, 5, -1), (2, 5, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (5, 10, -1)];105;[(0, 2, -1), (0, 5, -1), (0, 10, -1), (0, 10, -1), (0, 10, -1), (1, 6, 1), (1, 7, 1), (1, 13, 1), (2, 5, -1), (2, 5, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (3, 7, 1), (3, 8, 1), (4, 8, 1), (4, 9, 1), (4, 12, 1), (5, 10, -1), (6, 9, 1), (6, 12, 1), (11, 12, 1), (11, 13, 1)]
12a_971;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;16;10;17];[11;4;12;5];[13;20;14;21];[15;22;16;23];[17;3;18;2];[19;14;20;15];[21;12;22;13];[23;9;24;8]]";163;[(0, 2, -1), (0, 5, -1), (0, 9, -1), (0, 9, -1), (0, 9, -1), (2, 5, -1), (2, 5, -1), (2, 9, -1), (2, 13, -1), (4, 9, -1), (4, 13, -1), (5, 9, -1)];163;[(0, 2, -1), (0, 5, -1), (0, 9, -1), (0, 9, -1), (0, 9, -1), (1, 6, 1), (1, 7, 1), (1, 12, 1), (2, 5, -1), (2, 5, -1), (2, 9, -1), (2, 13, -1), (3, 7, 1), (3, 7, 1), (3, 7, 1), (3, 8, 1), (3, 11, 1), (4, 9, -1), (4, 13, -1), (5, 9, -1), (6, 8, 1), (6, 11, 1), (10, 11, 1), (10, 12, 1)]
12a_972;"[[1;7;2;6];[3;10;4;11];[5;19;6;18];[7;1;8;24];[9;22;10;23];[11;4;12;5];[13;20;14;21];[15;9;16;8];[17;3;18;2];[19;12;20;13];[21;14;22;15];[23;17;24;16]]";183;[(0, 5, -1), (0, 6, -1), (0, 10, -1), (0, 10, -1), (2, 5, -1), (2, 5, -1), (2, 6, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (5, 10, -1), (6, 10, -1)];183;[(0, 5, -1), (0, 6, -1), (0, 10, -1), (0, 10, -1), (1, 7, 1), (1, 9, 1), (1, 12, 1), (1, 13, 1), (2, 5, -1), (2, 5, -1), (2, 6, -1), (2, 10, -1), (2, 10, -1), (2, 10, -1), (3, 7, 1), (3, 8, 1), (4, 8, 1), (4, 9, 1), (4, 12, 1), (5, 10, -1), (6, 10, -1), (7, 13, 1), (11, 12, 1), (11, 13, 1)]
12a_973;"[[1;7;2;6];[3;11;4;10];[5;21;6;20];[7;13;8;12];[9;5;10;4];[11;19;12;18];[13;23;14;22];[15;1;16;24];[17;9;18;8];[19;3;20;2];[21;17;22;16];[23;15;24;14]]";243;[(0, 7, -1), (0, 8, -1), (2, 6, -1), (2, 7, -1), (2, 8, -1), (2, 9, -1), (4, 6, -1), (4, 6, -1), (4, 7, -1), (4, 9, -1), (6, 9, -1), (7, 9, -1)];243;[(0, 7, -1), (0, 8, -1), (1, 10, 1), (1, 12, 1), (1, 13, 1), (1, 13, 1), (1, 13, 1), (2, 6, -1), (2, 7, -1), (2, 8, -1), (2, 9, -1), (3, 10, 1), (3, 11, 1), (3, 12, 1), (3, 13, 1), (4, 6, -1), (4, 6, -1), (4, 7, -1), (4, 9, -1), (5, 10, 1), (5, 11, 1), (5, 12, 1), (6, 9, -1), (7, 9, -1)]
