name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
12a_816,"[[ -1, -1, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, 0, 0, 0], [ 0, -1, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, -1, 1, 0, 0, 1], [ 0, 1, 0, 1, -1, 2, 0, -1], [ 0, -1, 0, -1, 1, -1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1]]",2,,,2-7*t+17*t^2-30*t^3+37*t^4-30*t^5+17*t^6-7*t^7+2*t^8
12a_817,"[[ -1, 0, 0, 1, 1, 0, 1, 1], [ 0, -1, 0, -1, -1, 0, -1, -1], [ -1, 0, -1, 1, 1, 0, 1, 1], [ 0, 0, 0, -2, -2, 0, -2, -1], [ 0, 0, 0, -1, -2, 0, -1, -1], [ 0, 0, 0, -1, -1, -1, -1, 0], [ 0, 0, 0, -1, -2, 0, -2, -1], [ 0, 0, 0, -1, -1, 0, -1, -2]]",3,,,3-10*t+19*t^2-26*t^3+29*t^4-26*t^5+19*t^6-10*t^7+3*t^8
12a_818,"[[ -1, 0, -1, -1, 0, 0, 0, -1], [ -1, -1, -1, -1, 0, 0, 0, -1], [ 0, 0, -1, -1, -1, 1, 0, -1], [ 0, 0, 0, -1, -1, 0, 0, 0], [ 0, 0, 0, 0, 1, 0, 0, 0], [ 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, -1, 0, 0, 1, -1], [ 0, 0, 0, -1, -1, 1, 0, -1]]",-1,,,1-7*t+23*t^2-42*t^3+49*t^4-42*t^5+23*t^6-7*t^7+t^8
12a_819,"[[ 1, 0, 0, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0, 0, 0], [ 0, -1, -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, -1, 0, 0, 0, 0, 0, 0], [ 1, -1, -1, -1, 1, 0, -1, -1, 1, 0], [ 1, -1, -1, -1, 1, 1, -1, -1, 1, 1], [ 0, -1, -1, -1, 0, 0, -1, -1, 0, 0], [ 0, -1, 0, -1, 0, 0, 0, -1, 0, 0], [ 1, 0, -1, -1, 0, 0, -1, -1, 1, 0], [ 1, -1, -1, -1, 1, 0, -1, -1, 1, 1]]",-1,,,1-5*t+12*t^2-21*t^3+29*t^4-33*t^5+29*t^6-21*t^7+12*t^8-5*t^9+t^10
12a_820,"[[ 1, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ 0, -1, -1, -1, 0, -1, 0, 0], [ 0, -1, 0, -1, 0, 0, 0, 0], [ 0, -1, -1, -1, -1, -1, 0, 0], [ 0, -1, 0, -1, 0, -1, 0, 0], [ 1, 0, -1, -1, -1, -1, 1, 0], [ -1, 1, 1, 1, 1, 1, -1, 2]]",-2,,,2-10*t+23*t^2-35*t^3+39*t^4-35*t^5+23*t^6-10*t^7+2*t^8
12a_821,"[[ 1, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0], [ 0, -1, -1, 1, 0, 0], [ 0, 1, 0, -2, 0, 0], [ 1, 0, -1, 1, 1, 0], [ -1, 1, 1, -1, -1, 2]]",-4,,,4-20*t+44*t^2-57*t^3+44*t^4-20*t^5+4*t^6
12a_822,"[[ -1, 0, 0, -1, 0, 0, 0, 1], [ 0, 1, 0, 0, 0, 0, 0, 0], [ -1, 0, -1, -1, 0, 0, 0, 1], [ 0, -1, 0, -1, 0, 0, 0, 1], [ 0, 0, 0, 0, -1, -1, -1, -1], [ 0, 0, 0, 0, 0, -1, 0, -1], [ 0, 0, 0, 0, 0, -1, -1, -1], [ 0, 1, 0, 0, 0, 0, 0, -2]]",-2,,,2-8*t+15*t^2-22*t^3+25*t^4-22*t^5+15*t^6-8*t^7+2*t^8
12a_823,"[[ -1, 0, 0, -1, 0, 1], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, -1, 0, 1], [ 0, -1, 0, -1, 0, 1], [ 0, 0, 0, 0, -2, 0], [ 0, 1, 0, 0, -1, -2]]",-4,,,4-17*t+31*t^2-37*t^3+31*t^4-17*t^5+4*t^6
12a_824,"[[ -1, -1, 0, 0, -1, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, 0, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, 0, 0, 0], [ 0, -1, 0, 1, -1, 1, 0, 1, 1, 0], [ 0, -1, 0, 1, -1, 1, 1, 1, 1, 1], [ 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 1, 1, 0], [ 0, -1, 0, 1, -1, 1, 0, 1, 1, 1]]",1,,,1-3*t+7*t^2-13*t^3+19*t^4-21*t^5+19*t^6-13*t^7+7*t^8-3*t^9+t^10
12a_825,"[[ -1, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0, 0, 0], [ 0, 0, 0, 2, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, -1, -1, 1, 0, 0], [ 0, -1, 0, -1, -1, 1, 1, 1], [ 0, -1, 0, -1, -1, 1, 0, 1]]",2,,,2-7*t+16*t^2-27*t^3+33*t^4-27*t^5+16*t^6-7*t^7+2*t^8
